Japonês,Tradução,Romaji
コーヒー 200円,Café: 200 ienes,
セール 50％オフ,Liquidação 50% de desconto,
いらっしゃいませ,Seja bem-vindo(a),
本日おすすめ,Recomendação do dia,ほんじつおすすめ
ごちゅうもんは おきまりですか？,Já decidiu o pedido?,
ラーメンセット 950円,Combo de lámen: 950 ienes,
おかわり できます,Pode repetir (refil disponível),
新鮮な野菜,Verduras frescas,しんせんな やさい
おみやげ あります,Temos lembrancinhas,
テイクアウト できます,Pode levar para viagem,
おつりは ありません,Não há troco,
今だけ格安,Somente agora: super barato!,いまだけ かくやす
旬の魚,Peixe da estação,しゅんの さかな
会計はレジでお願いします,"O pagamento, por favor, no caixa",かいけいは レジで おねがいします
家族セット,Combo família,かぞく セット
